Programs,Stimulation Level,Animation Styles,Dialogue Intensity,Total Music Time,Scene Frequency
PaisleysCorner,Medium Stimulation,Live Action (Real Humans),High,High,Moderate
KarazahChannel,Medium Stimulation,"3D CGI (Shadows, Bright)",Moderate,High,Moderate
AforAdley,Medium-High Stimulation,Live Action (Real Humans),High,Moderate,Moderate
Amakandu,Low Stimulation,Live Action (Real Humans),Low,Low,High
AdventureAgents,Medium-High Stimulation,Live Action (Real Humans),High,Low,Moderate
AkiliAndMe,Medium Stimulation,2D Cartoon (Flat Colors),High,High,Moderate
babablast,Medium-High Stimulation,Live Action (Real Humans),High,Moderate,Moderate
FilmHatten,Low-Medium Stimulation,Live Action (Real Humans),Low,High,Low
Badanamu,High Stimulation,"3D CGI (Shadows, Bright)",High,High,High
BingNederlands,Low-Medium Stimulation,"3D CGI (Shadows, Bright)",High,Moderate,Low
Blippi,High Stimulation,Live Action (Real Humans),High,High,High
bouncepatrol,High Stimulation,Live Action (Real Humans),High,High,High
braincandytv,High Stimulation,Live Action (Real Humans),High,High,Moderate
canticosworld,Medium Stimulation,2D Cartoon (Flat Colors),High,High,Moderate
casparbabypants,Low-Medium Stimulation,Live Action (Real Humans),Moderate ,Very-High,Low
cityvehicles,High Stimulation,Live Action (Real Humans),Moderate,High  ,High
Cloudbabies,Low-Medium Stimulation,"3D CGI (Shadows, Bright)",Moderate,High,Low
CoasterFan2105,Medium Stimulation,Live Action (Real Humans),Low,Low,Moderate
colorblocks,Medium Stimulation,2D Cartoon (Flat Colors),High,High,Moderate
CosmicKidsYoga,Medium Stimulation,Live Action (Real Humans),High,High,Moderate
CowboyJackShow,Medium-High Stimulation,Live Action (Real Humans),High,High,High
CuriousGeorge,Low-Medium Stimulation,2D Cartoon (Flat Colors),High,High,Moderate
DanielTigersNeighbourhood,Low-Medium Stimulation,2D Cartoon (Flat Colors),High,High,Low
DannyGo,High Stimulation,Live Action (Real Humans),High,High,High
DeZoeteZusjes,Medium Stimulation,Live Action (Real Humans),High,Moderate,Moderate
DoggylandKids,Medium-High Stimulation,"3D CGI (Shadows, Bright)",High,High,High
EnglishTreeTV,Medium Stimulation,"3D CGI (Shadows, Bright)",High,High,Moderate
GeckosGarage,Medium Stimulation,"3D CGI (Shadows, Bright)",High,High,Moderate
GenevievesPlayhouse,Medium Stimulation,Live Action (Real Humans),Moderate,High,Moderate
GirlsTtoyZZ,Medium-High Stimulation,Live Action (Real Humans),High,High,High
graciescorner,Medium-High Stimulation,2D Cartoon (Flat Colors),High,High,High
HandymanHal,Medium-High Stimulation,Live Action (Real Humans),High,High,High
HelperCars,Medium Stimulation,"3D CGI (Shadows, Bright)",Moderate,High,Moderate
HeyBear,High Stimulation,"3D CGI (Shadows, Bright)",Low,High ,High
ARTKidsTV,Medium Stimulation,Live Action (Real Humans),High,High,Low
cityoffriends-official,Medium Stimulation,"3D CGI (Shadows, Bright)",High,High,Moderate
HPlayground,Medium Stimulation,Live Action (Real Humans),Moderate,Moderate,Moderate
jufroos,Medium Stimulation,Live Action (Real Humans),High,High,Moderate
JunyTonyEN,Medium-High Stimulation,2D Cartoon (Flat Colors),High,High,High
KATURITV,Medium Stimulation,"3D CGI (Shadows, Bright)",Moderate,High,Low
KidECats,Medium Stimulation,2D Cartoon (Flat Colors),High,High,Moderate
Kids2kids,Medium-High Stimulation,Live Action (Real Humans),High,Moderate,High
TheLaurieBerknerBand,Medium Stimulation,Live Action (Real Humans),High ,High,Moderate
LeotheTruck,High Stimulation,"3D CGI (Shadows, Bright)",Moderate,High,Moderate
LeoTheWildlifeRanger,High Stimulation,"3D CGI (Shadows, Bright)",High,High,Moderate
lescopaque,Medium Stimulation,"3D CGI (Shadows, Bright)",High,High,Moderate
listenerkids,Low-Medium Stimulation,Live Action (Real Humans),High ,High,Moderate
lucasthespider,Low-Medium Stimulation,"3D CGI (Shadows, Bright)",Low,Moderate,Moderate
maizenofficial,Medium-High Stimulation,Live Action (Real Humans),High,High,High
Minuscule,Low Stimulation,Live Action (Real Humans),Low,High,Moderate
MissKatieSings,Low Stimulation,Live Action (Real Humans),Moderate ,High,Low
msmoniteaches,Medium Stimulation,Live Action (Real Humans),High,High,Low
msrachel,Medium-High Stimulation,Live Action (Real Humans),High,High,Low
MotherGooseClub,Medium-High Stimulation,Live Action (Real Humans),High,High,Moderate
nanalanofficial,Low Stimulation,"3D CGI (Shadows, Bright)",Moderate,Moderate,Low
NinjaKidz,High Stimulation,Live Action (Real Humans),High,High,High
NoodleAndPals,Medium Stimulation,2D Cartoon (Flat Colors),High,High,Moderate
noodleandbun,High Stimulation,"3D CGI (Shadows, Bright)",Low,High,Moderate
Numberblocks,Medium Stimulation,"3D CGI (Shadows, Bright)",Moderate,Moderate,Moderate
OmarHanaIslamicSongsforKids,Medium Stimulation,2D Cartoon (Flat Colors),High,High,Moderate
Pingu,Low Stimulation,2D Cartoon (Flat Colors),Moderate,Moderate,Low
PipiM?,Medium Stimulation,2D Cartoon (Flat Colors),High,Moderate,Low
PJMasksOfficial,High Stimulation,"3D CGI (Shadows, Bright)",High,High,High
RainbowRuby,High Stimulation,"3D CGI (Shadows, Bright)",High,High,High
RC_ACTION_CHANNEL,Low-Medium Stimulation,Live Action (Real Humans),Moderate,High,Moderate
RyansWorld,High Stimulation,Live Action (Real Humans),High,High,High
MyGoSignLanguageforKids-ASL,Medium Stimulation,Live Action (Real Humans),High,High,Moderate
SpanishwithLiz,Medium Stimulation,Live Action (Real Humans),High,High,Low
Steve_and_Maggie,Medium Stimulation,Live Action (Real Humans),High,High,Moderate
SuperSimpleSongs,Medium-High Stimulation,"3D CGI (Shadows, Bright)",High ,High,Low
Tayo,Medium-High Stimulation,"3D CGI (Shadows, Bright)",High,High,Moderate
TheBearConstruction68,Medium Stimulation,"3D CGI (Shadows, Bright)",Low,Low,Moderate
TheLandofBoggs,High Stimulation,2D Cartoon (Flat Colors),High,Moderate,High
TheMikMaks,High Stimulation,Live Action (Real Humans),High,High,Moderate
thewiggles,High Stimulation,Live Action (Real Humans),High,High,High
TingaTingaTales,Medium Stimulation,2D Cartoon (Flat Colors),High,High,Moderate
TractorTed,Low-Medium Stimulation,Live Action (Real Humans),Moderate,Moderate,Moderate
VladandNiki,High Stimulation,Live Action (Real Humans),High,High,High
VooksStorybooks,Low-Medium Stimulation,2D Cartoon (Flat Colors),Moderate,High,Low
One4kids-Zaky,Medium Stimulation,2D Cartoon (Flat Colors),High,High,Low
barney,Low-Medium Stimulation,Live Action (Real Humans),Moderate,High,Moderate
ChipAndPotato,Medium Stimulation,2D Cartoon (Flat Colors),Moderate,Moderate,Moderate
CoComelon,High Stimulation,"3D CGI (Shadows, Bright)",Low,High,High
MundoDragonBallOficial77,High Stimulation,2D Cartoon (Flat Colors),High,High,High
SesameStreet,Low Stimulation,Live Action (Real Humans),Moderate,High,Low
LittleBear,Low Stimulation,Hand-Drawn / Stop Motion,Moderate,Moderate,Low
PeppaPigOfficial,Low-Medium Stimulation,2D Cartoon (Flat Colors),Moderate,Moderate,Moderate
pokemon,High Stimulation,2D Cartoon (Flat Colors),High,High,High
SarahAndDuckOfficial,Low Stimulation,2D Cartoon (Flat Colors),Moderate,Moderate,Moderate
ShaunandFriendsOfficial,Medium Stimulation,2D Cartoon (Flat Colors),Low,Moderate,Moderate
SimonSuperRabbit,Low-Medium Stimulation,2D Cartoon (Flat Colors),Moderate,Moderate,Moderate
SpongeBobOfficial,High Stimulation,2D Cartoon (Flat Colors),High,High,Moderate
teletubbies,Medium Stimulation,Live Action (Real Humans),Low,Moderate,High
